5031922AEROLEP                                     aer.inhal.c/adap.x 250ds00047022NNAustral         00016676420220606002060074620107798160690096025010SNN00
9959215BUCAL TAC GEL DENTAL                        Whitening gel Blanc.20 g00000000NNGrimberg        00002760020220606001103815921507798034742739000110NNN00
9954447BUCAL TAC GEL DENTAL 5000                   Uso terap.tratam.x 60 g 00000000NNGrimberg        00008200020220606001103815444707798158481620000110NNN00
9942602BUCAL TAC HILOS DENTALES                    Enhebrador p/Hilo x 25 u00000000NNGrimberg        00003990020220606011103814260207798034749738002510NNN00
9939591BUCAL TAC HILOS DENTALES                    Fino c/Cera Menta 50 mts00000000NNGrimberg        00004500020220606011103813959107798034748403005010NNN00
9939592BUCAL TAC HILOS DENTALES                    Fino s/Cera x 50 mts    00000000NNGrimberg        00004500020220606011103813959207798034748410005010NNN00
9958558BUCAL TAC PALILLOS INTERDENTALES            Periostick soft pal x30u00000000NNGrimberg        00006080020220606001103815855807798034748601003010NNN00
9939036BUCAL TAC PERIODENT                         Gel Bioadhes.bucof. x20g00000000NNGrimberg        00009450020220606001103813903607798034741886000110NNN00
9939334BUCAL TAC PERIODENT                         Manten.enj.bucal x200 ml00000000NNGrimberg        00009100020220606001103813933407798034741909000110NNN00
9939335BUCAL TAC PERIODENT                         Manten.enj.bucal x480 ml00000000NNGrimberg        00018800020220606001103813933507798034741916000130NNN00
9938482BUCAL TAC PERIODENT                         Spray Bucofaring. x 60ml00000000NNGrimberg        00012650020220606001103813848207798034741893000110NNN00
9946064BUCAL TAC PERIODENT                         trat. enj.bucal x 1L    00000000NNGrimberg        00029800020220606001103814606407798034740353000150NNN00
9926342BUCAL TAC PERIODENT                         trat. enj.bucal x 200 ml00000000NNGrimberg        00008800020220606001103812634207798034741947000110NNN00
9929918BUCAL TAC PERIODENT                         trat. enj.bucal x 480 ml00000000NNGrimberg        00018800020220606001103812991807798034746065000120NNN00
9943570BUCAL TAC REVELADOR DE PLACA                Detector Rev.Placa 200ml00000000NNGrimberg        00007200020220606001103814357007798034747444000110NNN00
9944348BUCAL TAC REVELADOR DE PLACA                Dos Tonos Sol Rev.10 ml 00000000NNGrimberg        00012600020220606001103814434807798034746287000110NNN00
9950344BUCAL TAC SWEET CARE                        caram.anticar.frut.x 80g00000000NNGrimberg        00005790020220606011103815034407798158482788000110NNN00
9950343BUCAL TAC SWEET CARE                        caram.anticar.mentax 80g00000000NNGrimberg        00005790020220606011103815034307798158482771000110NNN00
9950345BUCAL TAC SWEET CARE                        chup.anticar.t/frut.x81g00000000NNGrimberg        00005790020220606011103815034507798158482795000110NNN00
9945119BUCAL TAC TABLETAS LIMPIADORAS              Tab.limp.eferv.x 12     00000000NNGrimberg        00004800020220606001103814511907798034742760001210NNN00
9949071CLEAR VISION                                limpiador spray x 28 ml 00000000NNGrimberg        00005590020220606001103814907107798158482740000110NNN00
9938174CRIOSPRAY                                   spray refrig.x 250 ml   00000000NNGrimberg        00022000020220606001103813817407798034742708000110NNN00
9940241DENTIFIX                                    tabletas x 12           00000000NNGrimberg        00004800020220606001103814024107798097326679001210NNN00
9940020DENTIFIX CREMA                              Menta adh.ext.fte. x 40g00000000NNGrimberg        00006900020220606001103814002007798097328000000110NNN00
9947086DENTIFIX CREMA                              adh. x 25g 25% gratis   00000000NNGrimberg        00004800020220606001103814708607798158481996000110NNN00
9937487DENTIFIX CREMA                              adh.ext.fuerte x 20 g   00000000NNGrimberg        00004800020220606001103813748707798097320158000110NNN00
9933644DENTIFIX CREMA                              adh.ext.fuerte x 40 g   00000000NNGrimberg        00006900020220606001103813364407798097320066000120NNN00
9942698DENTIFIX CREMA                              cr.adh.x 48g 20% Gratis 00000000NNGrimberg        00006900020220606001103814269807798097326709000150NNN00
9933645DENTIFIX POLVO                              Adhesivo x 20 g         00000000NNGrimberg        00006500020220606001103813364507798097325207000110NNN00
9957896DUCHA BUCAL                                 EdEsp.Black Inal.Ind.Flo00000000NNGrimberg        00179000020220606011103815789600073950226257000110NNN00
9916822DUCHA BUCAL                                 Fliar.c/4boq.+acces.limp00000000NNGrimberg        00239000020220606011103811682200073950202411000110NNN00
9957895DUCHA BUCAL                                 Inal mb.Indiv.Flosser   00000000NNGrimberg        00179000020220606011103815789500073950204170000110NNN00
9958908DUCHA BUCAL                                 UltraJetÿ100ÿA x 1      00000000NNGrimberg        00279000020220606011103815890800073950118247000110NNN00
9957900GREEN DENT BY BUCAL TAC                     Adulto cep.dental x 1   00000000NNGrimberg        00003890020220606011103815790007798158489411000110NNN00
9958904GREEN DENT BY BUCAL TAC                     BambooAdul. cep.dent.x 100000000NNGrimberg        00004390020220606011103815890407798034748533000110NNN00
9958905GREEN DENT BY BUCAL TAC                     BambooNi¤o cep.dent. x 100000000NNGrimberg        00004390020220606011103815890507798034748540000110NNN00
9957901GREEN DENT BY BUCAL TAC                     Ni¤o cep.dental x 1     00000000NNGrimberg        00003890020220606011103815790107798158489428000110NNN00
9923646MINAMINT DESODORANTE BUCAL SPRAY            Freshmint desod.buc.x9ml00000000NNGrimberg        00004890020220606011103812364607798034749257000110NNN00
9959337MINAMINT DESODORANTE BUCAL SPRAY            Freshmint s/blister x9ml00000000NNGrimberg        00004080020220606011103815933707798034740360000110NNN00
9923644MINAMINT DESODORANTE BUCAL SPRAY            Spearmint desod.buc.x9ml00000000NNGrimberg        00004890020220606011103812364407798034749240000110NNN00
9959336MINAMINT DESODORANTE BUCAL SPRAY            Spearmint s/blister x9ml00000000NNGrimberg        00004080020220606011103815933607798034740254000110NNN00
9959688MINAMINT DESODORANTE BUCAL SPRAY            Surtidos fcos. x 24     00000000NNGrimberg        00098000020220606011103815968807798158484782002410NNN00
9945375SEGURDENT                                   cr.adh.sab.menta x 40 g 00000000NNGrimberg        00006150020220606001103814537507798097320196000110NNN00
9945374SEGURDENT                                   cr.adh.sab.neutro x 40 g00000000NNGrimberg        00006150020220606001103814537407798097321018000110NNN00
9945956COLDCREAM                                   env.x 30 ml             00000000NNWeleda          00029000020220606011104794595607611916126154000110NNN00
9945955EVERON                                      env.x 4 g               00000000NNWeleda          00021000020220606011104794595504001638088381000110NNN00
9929594WELEDA ACEITES CORPORALES                   Abedul p/celul.ac.x100ml00000000NNWeleda          00033000020220606011104792959404001638088039000110NNN00
9942901WELEDA ACEITES CORPORALES                   Aceite p/embarazo x100ml00000000NNWeleda          00032000020220606011104794290104001638095112000110NNN00
9929593WELEDA ACEITES CORPORALES                   Arnica aceite x 100 ml  00000000NNWeleda          00029000020220606011104792959304001638099226000130NNN00
9929592WELEDA ACEITES CORPORALES                   Arnica aceite x 50 ml   00000000NNWeleda          00026000020220606011104792959204001638099202000110NNN00
9929595WELEDA ACEITES CORPORALES                   Cal‚ndula aceite x 100ml00000000NNWeleda          00029000020220606011104792959504001638099295000110NNN00
9929596WELEDA ACEITES CORPORALES                   Citrus corp.ac.x 100 ml 00000000NNWeleda          00029000020220606011104792959604001638097048000110NNN00
9935629WELEDA ACEITES CORPORALES                   Espino amari.ac.x 100 ml00000000NNWeleda          00030000020220606011104793562904001638099950000110NNN00
9944460WELEDA ACEITES CORPORALES                   Granada aceite x 100 ml 00000000NNWeleda          00032000020220606011104794446004001638088473000110NNN00
9929585WELEDA ACEITES CORPORALES                   Lavanda aceite x 100 ml 00000000NNWeleda          00029000020220606011104792958504001638099943000110NNN00
9957869WELEDA ACEITES CORPORALES                   Onagra revitaliz.x 100ml00000000NNWeleda          00032000020220606011104795786904001638086639000110NNN00
9929584WELEDA ACEITES CORPORALES                   Rosa mosqueta ac.x 100ml00000000NNWeleda          00030000020220606011104792958404001638099394000110NNN00
9957880WELEDA ANTI-IMPERFECCIONES                  Fluido Matificante x30ml00000000NNWeleda          00030000020220606011104795788004001638500227000110NNN00
9957881WELEDA ANTI-IMPERFECCIONES                  Gel limp.purific.x100 ml00000000NNWeleda          00030000020220606011104795788104001638500210000110NNN00
9957882WELEDA ANTI-IMPERFECCIONES                  Trat. S.O.S x 10 ml     00000000NNWeleda          00030000020220606011104795788204001638500234000110NNN00
9941918WELEDA CABELLO                              Aceite capilar nut.x50ml00000000NNWeleda          00026000020220606011104794191804001638095631000110NNN00
9929626WELEDA CABELLO                              Romero loc.x 100 ml     00000000NNWeleda          00026000020220606011104792962604001638095716000110NNN00
9939492WELEDA CALENDULA (BEBES,N¥,PIEL SENS.)      aceite x 200 ml         00000000NNWeleda          00027000020220606011104793949204001638096553000110NNN00
9939493WELEDA CALENDULA (BEBES,N¥,PIEL SENS.)      ba¤o de cr.x 200 ml     00000000NNWeleda          00027000020220606011104793949304001638096591000110NNN00
9929605WELEDA CALENDULA (BEBES,N¥,PIEL SENS.)      cr.pa¤al x 75 ml        00000000NNWeleda          00028000020220606011104792960504001638098311000110NNN00
9939494WELEDA CALENDULA (BEBES,N¥,PIEL SENS.)      facial cr.x 50 ml       00000000NNWeleda          00026000020220606011104793949404001638096614000110NNN00
9939495WELEDA CALENDULA (BEBES,N¥,PIEL SENS.)      leche corp.x 200 ml     00000000NNWeleda          00026000020220606011104793949504001638096539000110NNN00
9929613WELEDA CUIDADOS DENTALES                    Agua dent¡frica x 50 ml 00000000NNWeleda          00023000020220606011104792961304001638098069000110NNN00
9929612WELEDA CUIDADOS DENTALES                    Cal‚ndula pasta x 75 ml 00000000NNWeleda          00017000020220606011104792961204001638098014000130NNN00
9929611WELEDA CUIDADOS DENTALES                    Ni¤os gel dent.x 50 ml  00000000NNWeleda          00016000020220606011104792961104001638081863000130NNN00
9929610WELEDA CUIDADOS DENTALES                    Ratania pasta dent.x75ml00000000NNWeleda          00017000020220606011104792961004001638098083000110NNN00
9929608WELEDA CUIDADOS DENTALES                    Salina pasta dent.x 75ml00000000NNWeleda          00017000020220606011104792960804001638098090000130NNN00
9929609WELEDA CUIDADOS DENTALES                    Vegetal gel dent.x 75 ml00000000NNWeleda          00017000020220606011104792960904001638098045000110NNN00
9935454WELEDA DESODORANTES                         Citrus desodorant.x118ml00000000NNWeleda          00018000020220606001104793545407798036820770000110NNN00
9957890WELEDA DESODORANTES                         Roll-on Citrus x 50 ml  00000000NNWeleda          00015000020220606011104795789004001638095235000110NNN00
9957892WELEDA DESODORANTES                         Roll-on Granada x 50 ml 00000000NNWeleda          00015000020220606011104795789204001638500203000110NNN00
9957891WELEDA DESODORANTES                         Roll-on Hombres x 50 ml 00000000NNWeleda          00015000020220606011104795789104001638095228000110NNN00
9935457WELEDA DESODORANTES                         Rosa desodorant.x 118 ml00000000NNWeleda          00019000020220606001104793545707798036820794000110NNN00
9935455WELEDA DESODORANTES                         Salvia desodorant.x118ml00000000NNWeleda          00018000020220606001104793545507798036820787000110NNN00
9957894WELEDA DUCHA 2 EN 1 (BEBES,N¥,PIEL SENS.)   champ+gel Menta Fresca  00000000NNWeleda          00021000020220606011104795789404001638501408000210NNN00
9957893WELEDA DUCHA 2 EN 1 (BEBES,N¥,PIEL SENS.)   champ+gel NaranjaFrutal 00000000NNWeleda          00021000020220606011104795789304001638075114000210NNN00
9944075WELEDA EXFOLIANTE                           Abedul x 150 ml         00000000NNWeleda          00026000020220606011104794407504001638088312000110NNN00
9929634WELEDA FITOACONDICIONADOR                   Aloe x 200 ml           00000000NNWeleda          00016000020220606001104792963407798036820886000110NNN00
9935458WELEDA FITOACONDICIONADOR                   Argan x 200 ml          00000000NNWeleda          00016000020220606001104793545807798036820916000110NNN00
9935459WELEDA FITOACONDICIONADOR                   Manzanilla x 200 ml     00000000NNWeleda          00016000020220606001104793545907798036820893000110NNN00
9955920WELEDA FITOSHAMPOO                          Aloe x 250 ml           00000000NNWeleda          00016000020220606001104795592007798036820824000110NNN00
9955921WELEDA FITOSHAMPOO                          Argan x 250 ml          00000000NNWeleda          00016000020220606001104795592107798036820909000110NNN00
9929632WELEDA FITOSHAMPOO                          Cal‚ndula x 250 ml      00000000NNWeleda          00016000020220606001104792963207798036820848000110NNN00
9929629WELEDA FITOSHAMPOO                          Ortiga x 250 ml         00000000NNWeleda          00016000020220606001104792962907798036820572000110NNN00
9929631WELEDA FITOSHAMPOO                          Romero x 250 ml         00000000NNWeleda          00016000020220606001104792963107798036820510000110NNN00
9929617WELEDA FITOSPRAY                            Anti-ardor x 30 ml      00000000NNWeleda          00015000020220606001104792961707798036820541000110NNN00
9929616WELEDA FITOSPRAY                            Arnica x 30 ml          00000000NNWeleda          00015000020220606001104792961607798036820527000110NNN00
9929615WELEDA FITOSPRAY                            Cal‚ndula x 30 ml       00000000NNWeleda          00015000020220606001104792961507798036820534000110NNN00
9923219WELEDA FITOSPRAY                            Liendres x 120 ml       00000000NNWeleda          00019000020220606001104792321907798036820558000110NNN00
9942893WELEDA GEL CREMOSO DE DUCHA                 AromaShowerLove x 200 ml00000000NNWeleda          00024000020220606011104794289307611916160769000110NNN00
9949848WELEDA GEL CREMOSO DE DUCHA                 Cal‚ndula x 200 ml      00000000NNWeleda          00018000020220606011104794984804001638096515000110NNN00
9942892WELEDA GEL CREMOSO DE DUCHA                 Citrus Refresh x 200 ml 00000000NNWeleda          00024000020220606011104794289207611916124501000110NNN00
9942894WELEDA GEL CREMOSO DE DUCHA                 Espino amarillo x 200 ml00000000NNWeleda          00024000020220606011104794289404001638088282000110NNN00
9944461WELEDA GEL CREMOSO DE DUCHA                 Granada Inspire x 200 ml00000000NNWeleda          00026000020220606011104794446107611916125720000110NNN00
9957889WELEDA GEL DE DUCHA                         Sport de µrnica x 200 ml00000000NNWeleda          00024000020220606011104795788904001638093668000110NNN00
9944462WELEDA GRANADA                              Crema p/manos x 50 ml   00000000NNWeleda          00026000020220606011104794446204001638088459000110NNN00
9929588WELEDA HOMBRE                               b lsamo p/afeitadox100ml00000000NNWeleda          00023000020220606011104792958804001638098564000110NNN00
9929587WELEDA HOMBRE                               crema de afeitar x 75 ml00000000NNWeleda          00022000020220606011104792958704001638098809000110NNN00
9939491WELEDA HOMBRE                               crema hidrat.x 30 ml    00000000NNWeleda          00026000020220606011104793949104001638093934000110NNN00
9929607WELEDA JABONES                              Cal‚ndula jab.veg.x 100g00000000NNWeleda          00020000020220606011104792960704001638098946000110NNN00
9957883WELEDA LECHES CORPORALES                    Citrus Hidrat. x 200 ml 00000000NNWeleda          00026000020220606011104795788304001638088565000110NNN00
9957884WELEDA LECHES CORPORALES                    EspinoAmar. Nutr.x 200ml00000000NNWeleda          00028000020220606011104795788404001638088589000110NNN00
9957886WELEDA LECHES CORPORALES                    Granada Regener.x 200 ml00000000NNWeleda          00028000020220606011104795788604001638088596000110NNN00
9957885WELEDA LECHES CORPORALES                    Rosa Mosq. Suav.x 200 ml00000000NNWeleda          00028000020220606011104795788504001638088572000110NNN00
9959723WELEDA LECHES CORPORALES                    Skin Food x 200 ml      00000000NNWeleda          00027000020220606011104795972304001638529426000110NNN00
9958860WELEDA LINEA CACTUS                         24h Hydracream x 30 ml  00000000NNWeleda          00028000020220606011104795886004001638523219000110NNN00
9958861WELEDA LINEA CACTUS                         24h Hydralotion x 30 ml 00000000NNWeleda          00028000020220606011104795886104001638500029000110NNN00
9958862WELEDA LINEA CACTUS                         Hydragel OjosRefr x 10ml00000000NNWeleda          00031000020220606011104795886204001638526456000110NNN00
9958863WELEDA LINEA CACTUS                         Hydramist Br.Fac. x100ml00000000NNWeleda          00037000020220606011104795886307611916357756000110NNN00
9945951WELEDA NUEVA LINEA ALMENDRA                 Facial aceite x 50 ml   00000000NNWeleda          00031000020220606011104794595104001638080309000110NNN00
9945949WELEDA NUEVA LINEA ALMENDRA                 Facial aromat.cr.x 30 ml00000000NNWeleda          00033000020220606011104794594904001638086004000110NNN00
9945950WELEDA NUEVA LINEA ALMENDRA                 Fluido aromat.cr.x 30 ml00000000NNWeleda          00031000020220606011104794595004001638086882000110NNN00
9945948WELEDA NUEVA LINEA ALMENDRA                 Leche limp.x 75 ml      00000000NNWeleda          00029000020220606011104794594804001638080316000110NNN00
9957868WELEDA NUEVA LINEA GRANADA                  Cont.ojos reafirm. x10ml00000000NNWeleda          00031500020220606011104795786804001638097253000110NNN00
9945936WELEDA NUEVA LINEA GRANADA                  D¡a cr.x 30 ml          00000000NNWeleda          00031500020220606011104794593604001638090889000110NNN00
9945937WELEDA NUEVA LINEA GRANADA                  Noche cr.x 30 ml        00000000NNWeleda          00031500020220606011104794593704001638091015000110NNN00
9945939WELEDA NUEVA LINEA GRANADA                  Serum reafirmante x 10ml00000000NNWeleda          00035000020220606011104794593904001638080040000110NNN00
9958493WELEDA NUEVA LINEA GRANADA                  aceite facial reaf.x30ml00000000NNWeleda          00036000020220606011104795849304001638502368000110NNN00
9945940WELEDA NUEVA LINEA IRIS                     D¡a cr.x 30 ml          00000000NNWeleda          00027000020220606011104794594004001638088763000110NNN00
9945941WELEDA NUEVA LINEA IRIS                     Fluido hidratante x30ml 00000000NNWeleda          00027000020220606011104794594104001638080194000110NNN00
9945942WELEDA NUEVA LINEA IRIS                     Noche cr.x 30 ml        00000000NNWeleda          00028000020220606011104794594204001638080262000110NNN00
9957867WELEDA NUEVA LINEA LIMPIEZA                 Espuma limp.suave x150ml00000000NNWeleda          00030000020220606011104795786704001638500050000110NNN00
9945954WELEDA NUEVA LINEA LIMPIEZA                 Limp.locion x 100 ml    00000000NNWeleda          00027000020220606011104794595404001638080156000110NNN00
9945952WELEDA NUEVA LINEA LIMPIEZA                 Suave leche limp.x 100ml00000000NNWeleda          00027000020220606011104794595204001638080132000110NNN00
9945953WELEDA NUEVA LINEA LIMPIEZA                 tonica loc.x 100ml      00000000NNWeleda          00027000020220606011104794595304001638080149000110NNN00
9945938WELEDA NUEVA LINEA ONAGRA                   Cont.ojos/labios x 10 ml00000000NNWeleda          00035000020220606011104794593804001638086592000110NNN00
9957870WELEDA NUEVA LINEA ONAGRA                   D¡a cr.Redensif. x 30 ml00000000NNWeleda          00035000020220606011104795787004001638506578000110NNN00
9957871WELEDA NUEVA LINEA ONAGRA                   Noche cr.Redensif.x 30ml00000000NNWeleda          00035000020220606011104795787104001638086585000110NNN00
9957872WELEDA NUEVA LINEA ONAGRA                   Serum Redensif. x30ml   00000000NNWeleda          00037000020220606011104795787204001638082481000110NNN00
9945946WELEDA NUEVA LINEA ROSA MOSQUETA            Contorno de ojos x 30 ml00000000NNWeleda          00030000020220606011104794594604001638080088000110NNN00
9945943WELEDA NUEVA LINEA ROSA MOSQUETA            D¡a cr.x 30 ml          00000000NNWeleda          00029500020220606011104794594304001638089654000110NNN00
9945944WELEDA NUEVA LINEA ROSA MOSQUETA            Fluido alisante x 30 ml 00000000NNWeleda          00029500020220606011104794594404001638086875000110NNN00
9945945WELEDA NUEVA LINEA ROSA MOSQUETA            Noche cr.x 30 ml        00000000NNWeleda          00030000020220606011104794594504001638086011000110NNN00
9935628WELEDA TRATAMIENTOS ESPECIFICOS             Cr.p/manos Espino x 50ml00000000NNWeleda          00026000020220606011104793562804001638097499000110NNN00
9957874WELEDA TRATAMIENTOS ESPECIFICOS             S.Food BodyButter x150ml00000000NNWeleda          00033000020220606011104795787404001638526708000110NNN00
9929602WELEDA TRATAMIENTOS ESPECIFICOS             Sani-Pies cr.x 75 ml    00000000NNWeleda          00026000020220606011104792960204001638905305000110NNN00
9947853WELEDA TRATAMIENTOS ESPECIFICOS             Skin Food x 75 ml       00000000NNWeleda          00030000020220606011104794785304001638098595000110NNN00
9957873WELEDA TRATAMIENTOS ESPECIFICOS             SkinFood LipButter x 8ml00000000NNWeleda          00024000020220606011104795787304001638501989000110NNN00
9935456WELEDA TRATAMIENTOS ESPECIFICOS             barro termal x 100 g    00000000NNWeleda          00026000020220606001104793545607798036820800000110NNN00
9923702CREMA DE ORDE¥E NORT                        pote x 150 g            00000000NNNort            00006830020220606001104912370207796755003009000110NNN00
9945489CREMA DE ORDE¥E NORT                        pote x 200 g            00000000NNNort            00008210020220606001104914548907796755000022000130NNN00
9941914CREMA DE ORDE¥E NORT CENTELLA-CAFEINA       pote x 180 g            00000000NNNort            00007530020220606001104914191407796755003085000110NNN00
9940666CREMA DE ORDE¥E NORT CON BABA DE CARACOL    pote x 100 g            00000000NNNort            00007140020220606001104914066607796755003078000110NNN00
9947440CREMA RELAX NORT                            env.c/dosif.x 280 g     00000000NNNort            00006700020220606001104914744007796755000077000110NNN00
9923708EMULSION MILK NORT                          pote x 200 g            00000000NNNort            00006630020220606001104912370807796755003061000110NNN00
9940667GEL POST SOLAR REFRESCANTE NORT             pote x 200 g            00000000NNNort            00006220020220606001104914066707796755003054000110NNN00
9946713KARITENA                                    rostro y cuello cr.x120g00000000NNNort            00007510020220606001104914671307796755000053000110NNN00
9955963AMUCHINA 100%                               bid¢n x 5000 ml         00000000NNIraola          00214819120220606011005695596307798033100592000110NNN00
6091971METFORMINA IRAOLA                           comp.rec.x 30           00030352NNIraola          00006507520220606002005694940207798033100516003010SNN00
6092001METFORMINA IRAOLA 850 LP                    LP 850 mg comp.rec.x 30 00049696NNIraola          00011435320220606002005695145907798033100547003010SNN00
9930127ACTRON                                      caps.gelat.blanda x 10  00006715NNBayer Consumer  00002740020220607001006543012707793640215479001010NNN00
9930128ACTRON                                      caps.gelat.blanda x 20  00011036NNBayer Consumer  00005230020220607001006543012807793640215486002030NNN00
5229911ACTRON 600 RAPIDA ACCION                    caps.gelat.blanda x 10  00013148NNBayer Consumer  00006550020220607002026543403707793640215523001010SNN00
5229912ACTRON 600 RAPIDA ACCION                    caps.gelat.blanda x 20  00026374NNBayer Consumer  00011890020220607002026544163707793640215622002030SNN00
6393971ACTRON FLEX                                 c ps.bl.x 10            00000000NNBayer Consumer  00007530020220607002006545502907793640991960001010NNN00
9958838ACTRON GEL                                  pomo x 50 g             00000000NNBayer Consumer  00010930020220607011006545883807793640992448000110NNN00
9934372ACTRON MUJER RAPIDA ACCION                  400 mg caps.x 10        00006715NNBayer Consumer  00002740020220607001006543437207793640215547001010NNN00
9933449ACTRON PEDIATRICO                           susp.oral x 100 ml      00011034NNBayer Consumer  00004290020220607001006543344907793640215509000110NNN00
9955391ACTRON PEDIATRICO                           susp.oral x 180 ml      00000000NNBayer Consumer  00006370020220607001006545539107793640992011000130NNN00
6051391ACTRON PEDIATRICO 4%                        susp.oral x 100 ml      00018557NNBayer Consumer  00008020020220607002026544670707793640002093000110SNN00
6051392ACTRON PEDIATRICO 4%                        susp.oral x 180 ml      00000000NNBayer Consumer  00014210020220607002006545539207793640992004000130NNN00
9953874ACTRON PLUS                                 c ps.x 8                00000000NNBayer Consumer  00003210020220607001006545387407793640001065000810NNN00
9951966ASPIRINETAS                                 comp.x 28               00000000NNBayer Consumer  00001200020220607001006545196607793640000839002810NNN00
9943571ASPIRINETAS                                 comp.x 98               00000000NNBayer Consumer  00004180020220607001006544357107793640217985009830NNN00
9951967BAYASPIRINA                                 comp.x 30               00017700NNBayer Consumer  00003710020220607001006545196707793640000747003010NNN00
9928475BAYASPIRINA C CALIENTE                      gran.sob.x 24           00000000NNBayer Consumer  00017100020220607001006542847507793640802532002410NNN00
9932529BAYASPIRINA C LIMON 240 MG VIT.C            efer.gran.sob.x 12      00000000NNBayer Consumer  00006150020220607001006543252907793640002673001210NNN00
9932530BAYASPIRINA C LIMON 240 MG VIT.C            efer.gran.sob.x 24      00000000NNBayer Consumer  00012090020220607001006543253007793640002680002430NNN00
9951968BAYASPIRINA FORTE                           comp.x 20               00000000NNBayer Consumer  00003300020220607001006545196807793640000754002010NNN00
0968191BECOZYM                                     grag.x 30               00016850NNBayer Consumer  00006810020220607002026542889407793640016014003010SNN00
4619211BECOZYM NF                                  a.x 6                   00021600NNBayer Consumer  00008710020220607002026542610907793640560036000610SNN00
9949314BEPANTHEN BABY                              pomo x 100 g.           00000000NNBayer Consumer  00016590020220607011006544931407793640004165000120NNN00
9949313BEPANTHEN BABY                              pomo x 30 g.            00000000NNBayer Consumer  00007490020220607011006544931307793640004158000110NNN00
9951747BEROCCA PERFORMANCE                         comp.efer.x 10          00000000NNBayer Consumer  00008120020220607001006545174707793640000280001010NNN00
9951748BEROCCA PERFORMANCE                         comp.efer.x 30          00000000NNBayer Consumer  00019280020220607001006545174807793640000297003030NNN00
9951746BEROCCA PERFORMANCE                         comp.laq.x 30           00000000NNBayer Consumer  00012830020220607001006545174607793640000273003010NNN00
4729521BEROCCA PLUS                                comp.efer.x 10          00000000NNBayer Consumer  00010980020220607002026542670107793640602491001010SNN00
4729522BEROCCA PLUS                                comp.efer.x 30          00000000NNBayer Consumer  00026280020220607002026542670207793640602514003030SNN00
4729601BEROCCA PLUS                                comp.laq.x 30           00000000NNBayer Consumer  00017380020220607002026542670307793640679844003010SNN00
9951969CAFIASPIRINA                                comp.x 30               00000000NNBayer Consumer  00004360020220607001006545196907793640000761003010NNN00
9951970CAFIASPIRINA PLUS                           comp.x 20               00000000NNBayer Consumer  00003710020220607001006545197007793640000778002010NNN00
0886922CAL C VITA                                  comp.efer.x 30          00000000NNBayer Consumer  00015050020220607002026540810207793640679868003030SNN00
2482622CAL C VITA FLUOR                            comp.efer.x 30          00000000NNBayer Consumer  00016830020220607002026542866307793640018445003030SNN00
0885772COBENEXOL FUERTE                            comp.laq.x 30           00043175NNBayer Consumer  00017410020220607002026540762607793640016427003010SNN00
2144292EMPECID                                     cr.x 20 g               00000000NNBayer Consumer  00007020020220607001006540119607793640216018000110NNN00
2384453EMPECID                                     spray x 60 ml           00000000NNBayer Consumer  00008410020220607001006540296607793640216056000110NNN00
9934920EMPECID GYNO 3 DIAS                         caps.vag.x 3            00000000NNBayer Consumer  00008590020220607001006543492007793640215554000310NNN00
9934921EMPECID GYNO 6 DIAS                         caps.vag.x 6            00000000NNBayer Consumer  00009840020220607001006543492107793640215561000610NNN00
9934922EMPECID GYNO CREMA                          cr.x 35 g+6 aplic.desc. 00000000NNBayer Consumer  00010990020220607001006543492207501318691209000110NNN00
9933433EMPECID PIE                                 pomo x 15 g             00000000NNBayer Consumer  00007000020220607001006543343307793640216063000110NNN00
3834561LAROTABE                                    caps.x 30               00000000NNBayer Consumer  00014560020220607002026541498807793640117193003010SNN00
2794151MUPATEN                                     cr.x 20 g               00000000NNBayer Consumer  00004310020220607002026540828907795320004519000110SNN00
9944306PARACETAMOL BAYER                           500 mg comp.x 30        00000000NNBayer Consumer  00004140020220607001006544430607793640992455003010NNN00
9954811REDOXITOS FRUTILLA MASTICABLES              sachets x 25 gomitas    00000000NNBayer Consumer  00007270020220607011006545481107793640004561002510NNN00
9951216REDOXITOS NARANJA MASTICABLES               sachets x 25 gomitas    00000000NNBayer Consumer  00007270020220607001006545121607793640000303002510NNN00
9956903REDOXITOS PLUS                              sachets x 25 gomitas    00000000NNBayer Consumer  00008380020220607001006545690307793640992165002510NNN00
9956193REDOXON                                     Efer.1 g comp.x 10      00000000NNBayer Consumer  00006625020220607001006545619307793640992127001010NNN00
9956194REDOXON                                     Efer.1 g comp.x 30      00000000NNBayer Consumer  00015870020220607001006545619407793640992110003030NNN00
0887091REDOXON                                     Efer.2 g comp.x 10 Lim¢n00000000NNBayer Consumer  00009310020220607002026540753507793640047612001010SNN00
0887092REDOXON                                     Efer.2 g comp.x 30 Lim¢n00000000NNBayer Consumer  00022370020220607002026540792207793640047629003030SNN00
9953369REDOXON TRIPLE ACCION                       Efer.1g 1 tub.x 10 comp.00000000NNBayer Consumer  00007770020220607001106545336907793640004585001010NNN00
9953370REDOXON TRIPLE ACCION                       Efer.1g 3 tub.x 10 comp.00000000NNBayer Consumer  00018720020220607001106545337007793640004592003030NNN00
9958706REDOXON TRIPLE ACCION                       comp. rec. x 10         00000000NNBayer Consumer  00005465020220607001106545870607793640992547001010NNN00
9912394RENNIE                                      comp.x 12               00000000NNBayer Consumer  00002530020220607011006541239407793640117216001220NNN00
9912395RENNIE                                      comp.x 36               00000000NNBayer Consumer  00006920020220607011006541239507793640117230003650NNN00
